Symbol,period,strongBuy,buy,hold,sell,strongSell
TSLA,2024-05-01,4,4,8,6,1
TSLA,2024-04-01,5,12,21,6,4
TSLA,2024-03-01,5,12,21,5,4
TSLA,2024-02-01,10,16,11,3,2
TM,2024-05-01,0,0,1,1,0
TM,2024-04-01,1,0,1,0,0
TM,2024-03-01,1,0,1,0,0
TM,2024-02-01,0,0,1,1,0
STLA,2024-05-01,0,0,0,0,0
STLA,2024-04-01,3,3,2,1,0
STLA,2024-03-01,2,3,1,0,0
STLA,2024-02-01,0,0,0,0,0
BMWYY,2024-05-01,0,0,0,0,0
BMWYY,2024-04-01,0,1,0,0,0
BMWYY,2024-03-01,0,1,0,0,0
BMWYY,2024-02-01,0,0,0,0,0
RACE,2024-05-01,3,1,3,3,0
RACE,2024-04-01,1,6,6,0,0
RACE,2024-03-01,1,7,5,0,0
RACE,2024-02-01,1,4,3,1,1
VWAGY,2024-05-01,0,0,0,0,0
VWAGY,2024-04-01,2,0,0,0,0
VWAGY,2024-03-01,2,0,0,0,0
VWAGY,2024-02-01,0,0,0,0,0
HMC,2024-05-01,1,0,1,0,0
HMC,2024-04-01,1,0,1,0,0
HMC,2024-03-01,2,1,0,0,0
HMC,2024-02-01,1,0,1,0,0
F,2024-05-01,0,4,18,2,0
F,2024-04-01,4,4,14,4,1
F,2024-03-01,4,3,12,4,1
F,2024-02-01,5,5,10,1,1
GM,2024-05-01,2,7,13,2,0
GM,2024-04-01,8,12,8,1,0
GM,2024-03-01,8,11,7,1,0
GM,2024-02-01,8,13,1,0,0
LI,2024-05-01,0,0,0,0,0
LI,2024-04-01,10,15,2,0,0
LI,2024-03-01,11,15,1,1,0
LI,2024-02-01,6,15,2,0,0
FUJHY,2024-05-01,0,0,1,0,0
FUJHY,2024-04-01,0,0,1,0,0
FUJHY,2024-03-01,0,0,1,0,0
FUJHY,2024-02-01,0,0,1,0,0
NSANY,2024-05-01,0,0,1,0,0
NSANY,2024-04-01,1,0,0,0,0
NSANY,2024-03-01,1,0,0,0,0
NSANY,2024-02-01,0,0,1,0,0
RIVN,2024-05-01,0,0,0,0,0
RIVN,2024-04-01,6,11,8,3,0
RIVN,2024-03-01,5,12,10,0,0
RIVN,2024-02-01,0,0,0,0,0
NIO,2024-05-01,1,2,5,0,0
NIO,2024-04-01,7,12,11,2,0
NIO,2024-03-01,9,11,12,1,0
NIO,2024-02-01,8,19,3,0,0
HOG,2024-05-01,2,3,16,1,0
HOG,2024-04-01,4,4,7,0,0
HOG,2024-03-01,4,3,8,0,0
HOG,2024-02-01,7,1,7,1,0
PII,2024-05-01,1,2,15,2,0
PII,2024-04-01,2,2,11,1,0
PII,2024-03-01,2,2,11,1,0
PII,2024-02-01,1,3,13,2,0
WGO,2024-05-01,4,1,5,0,0
WGO,2024-04-01,3,2,7,0,0
WGO,2024-03-01,3,2,7,0,0
WGO,2024-02-01,4,4,3,0,0
